id,timepoint,CorticalThickness,Rputa.frontal_FA,Rputa.frontal_MD,Rputa.frontal_RD,Rcaud.frontal_FA,Rcaud.frontal_MD,Rcaud.frontal_RD,HavardOxford_Cortl,DMN,FPN,CON
116,0,3.105271899,0.397291,9.01E-04,6.90E-04,0.355686,9.76E-04,7.82E-04,-1.199811761,0.426102114,0.187997902,0.377298125
119,0,2.801475504,0.42419,8.54E-04,6.46E-04,0.333914,9.33E-04,7.52E-04,3.395351093,0.398491018,0.239174147,0.313779077
120,0,2.839820113,0.411425,8.81E-04,6.68E-04,0.353007,9.35E-04,7.48E-04,-6.353518537,0.280297246,0.225578999,0.306844329
121,0,2.7033492,0.382066,8.69E-04,6.80E-04,0.352949,9.77E-04,7.77E-04,1.125346498,0.157422357,0.412619937,0.575653489
123,0,2.994127241,0.387989,8.56E-04,6.28E-04,0.336081,8.62E-04,7.38E-04,1.224492696,0.195848944,0.398723239,0.240360297
124,0,2.95651666,0.42419,8.58E-04,7.02E-04,0.354284,9.59E-04,7.46E-04,1.891253381,0.393369178,0.179168554,0.268371247
125,0,2.82596526,0.381785,9.30E-04,7.27E-04,0.370925,0.00100136,7.89E-04,-0.536956745,0.648555902,0.181775674,0.376370516
126,0,2.86404895,0.384383,8.81E-04,6.84E-04,0.375725,9.23E-04,7.23E-04,-0.657029984,0.460541316,0.196450404,0.503419837
128,0,2.933395128,0.439166,8.68E-04,6.39E-04,0.403947,9.00E-04,6.90E-04,0.667585764,0.308056988,0.145874237,0.365320235
131,0,2.811799369,0.372396,8.58E-04,6.77E-04,0.356314,9.02E-04,7.18E-04,-3.909561899,0.217151217,0.418351451,0.270804097
132,0,2.985512795,0.460725,8.52E-04,6.12E-04,0.371347,9.25E-04,7.34E-04,0.141028326,0.293847631,0.187997902,0.422773669
134,0,2.949760916,0.402677,8.99E-04,6.90E-04,0.409084,9.59E-04,7.07E-04,0.087503702,0.318844543,0.223971435,0.360816713
135,0,2.844814878,0.404576,9.43E-04,6.48E-04,0.391402,8.62E-04,7.30E-04,-0.747408713,0.32151773,0.223396339,0.170352197
136,0,2.727281407,0.413749,9.20E-04,7.00E-04,0.381635,0.00102125,7.98E-04,0.085047701,0.340253193,0.242670359,0.262359831
138,0,2.790686317,0.405627,8.62E-04,6.48E-04,0.377177,8.62E-04,7.30E-04,1.891253381,0.341844009,0.240630321,0.318576131
139,0,2.989329401,0.448357,8.58E-04,6.90E-04,0.354774,8.62E-04,7.07E-04,0.677196889,0.396834759,0.356527068,0.367265324
142,0,2.683044903,0.411766,8.57E-04,6.55E-04,0.393301,9.13E-04,7.08E-04,1.673762893,0.39539252,0.275704805,0.259089554
143,0,2.972046315,0.402331,8.74E-04,6.66E-04,0.417557,0.00103176,7.89E-04,-1.239735658,0.297966134,0.231029326,0.318450932
144,0,2.843733803,0.386125,9.21E-04,7.17E-04,0.373711,0.00100555,7.99E-04,-0.192412909,0.346391367,0.384589651,0.304084033
145,0,2.900644078,0.371816,8.84E-04,6.99E-04,0.398366,0.00103019,7.88E-04,-0.799715759,0.362094689,0.309795241,0.270804097
146,0,2.669113663,0.38279,8.88E-04,6.93E-04,0.390421,9.59E-04,7.30E-04,1.03002576,0.32151773,0.412619937,0.268269968
