p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
91,9.6361113,t0,Con,-3.8850141,19,659.53333,283,-0.079258449,-0.4433766,5
91,9.6361113,t1,Con,-3.8850141,19,483.55884,218.69231,0.16397434,0.39276016,6
91,9.6361113,t2,Con,-3.8850141,19,658.16669,183,-0.41154847,-0.1823099,6
92,11.086111,t0,Con,-21.26124,12,570.55713,123.84615,0.73797667,-0.084035069,5
92,11.086111,t1,Con,-21.26124,12,608.47827,285,-0.71016973,0.30370516,6
92,11.086111,t2,Con,-21.26124,12,555.59186,218.44444,0.52571911,-0.46532327,5
93,10.35,t0,Exp,-5.2702484,17,663.48438,282,0.5876919,-0.19143161,5
93,10.35,t1,Exp,-5.2702484,17,592.52942,285,0.72569174,-0.11218037,7
93,10.35,t2,Exp,-5.2702484,17,683.617,184.88235,0.044469707,-0.67380941,7
94,8.5638885,t0,Exp,-13.946149,15,704.75,255,0.29286048,-0.37052223,5
94,8.5638885,t1,Exp,-13.946149,15,655.18182,189,0.021036221,0.087879837,5
94,8.5638885,t2,Exp,-13.946149,15,655.48889,100.23529,-0.44771871,0.47403067,7
95,7.6305556,t0,Exp,-0.62895793,25,674.30359,273.07693,-0.97264236,-1.0792966,4
95,7.6305556,t1,Exp,-0.62895793,25,668.57892,295.53845,0.31974724,0.81535524,4
95,7.6305556,t2,Exp,-0.62895793,25,624.51062,260.5,0.050275877,-0.92420268,6
96,8.0972223,t0,Exp,-56.759407,7,587.03333,210,-0.74325317,-0.52692115,5
96,8.0972223,t1,Exp,-56.759407,7,683.68335,234,-0.29131445,0.2606473,5
96,8.0972223,t2,Exp,-56.759407,7,654.2381,197.25,-0.43848526,0.12808843,7
97,7.9166665,t0,Con,-7.286562,27,597.28125,252,-0.44542325,-0.47829735,4
97,7.9166665,t1,Con,-7.286562,27,576.5968,308,0.2885915,-0.66742039,6
97,7.9166665,t2,Con,-7.286562,27,457.66666,253.55556,0.92985928,0.12451392,5
98,10.455556,t0,Con,-3.8343129,29,524.41431,231,-0.066950753,0.040492609,6
